0.289748,-0.705099,-0.385771,1.35364,1.3632,-1.37796,-1.00854
-0.0711708,-0.709924,0.360181,1.35474,-2.16471,1.77756,1.96488
0.494855,0.311938,-2.2427,1.3139,0.667622,0.643847,0.991302
-0.366378,0.133564,1.93842,1.29208,2.38522,1.93864,0.908772
-0.074614,-0.708532,0.367406,1.35464,0.972148,-1.7812,-1.17885
0.595132,-0.265951,1.79076,-1.28476,-0.98896,-0.755574,-1.12726
-0.372331,0.11226,-1.2362,-1.29029,-0.71908,1.95532,0.928766
0.59277,0.0491425,-1.8104,1.28552,2.96935,-0.561489,-1.60071
0.173446,0.541559,-2.99904,1.36388,1.40576,1.08729,0.659048
0.581125,-0.33253,-1.24892,1.28957,-1.11737,0.819978,2.06551
